Rule,Support,Confidence,Lift
h-Nizka,0.5627566807313643,0.5627566807313643,1.0
no2-Zelo dobra,0.9909985935302391,0.9909985935302391,1.0
nox-Zelo nizka,1.0,1.0,1.0
o3-Dobra,0.5078481012658228,0.5078481012658228,1.0
pm1-Zelo dobra,0.8513080168776371,0.8513080168776371,1.0
pm10-Zelo dobra,0.8754992967651195,0.8754992967651195,1.0
pm25-Zelo dobra,1.0,1.0,1.0
pm4-Zelo dobra,0.9627566807313642,0.9627566807313642,1.0
"no2-Zelo dobra,h-Nizka",0.5568495077355837,0.5568495077355837,1.0
"nox-Zelo nizka,h-Nizka",0.5627566807313643,0.5627566807313643,1.0
"pm25-Zelo dobra,h-Nizka",0.5627566807313643,0.5627566807313643,1.0
"pm4-Zelo dobra,h-Nizka",0.5481293952180029,0.5481293952180029,1.0
"no2-Zelo dobra,nox-Zelo nizka",0.9909985935302391,0.9909985935302391,1.0
"no2-Zelo dobra,o3-Dobra",0.5062728551336146,0.5062728551336146,1.0
"pm1-Zelo dobra,no2-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
"no2-Zelo dobra,pm10-Zelo dobra",0.8736427566807313,0.8736427566807313,1.0
"no2-Zelo dobra,pm25-Zelo dobra",0.9909985935302391,0.9909985935302391,1.0
"no2-Zelo dobra,pm4-Zelo dobra",0.9574683544303797,0.9574683544303797,1.0
"o3-Dobra,nox-Zelo nizka",0.5078481012658228,0.5078481012658228,1.0
"pm1-Zelo dobra,nox-Zelo nizka",0.8513080168776371,0.8513080168776371,1.0
"nox-Zelo nizka,pm10-Zelo dobra",0.8754992967651195,0.8754992967651195,1.0
"pm25-Zelo dobra,nox-Zelo nizka",1.0,1.0,1.0
"pm4-Zelo dobra,nox-Zelo nizka",0.9627566807313642,0.9627566807313642,1.0
"pm25-Zelo dobra,o3-Dobra",0.5078481012658228,0.5078481012658228,1.0
"pm1-Zelo dobra,pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
"pm1-Zelo dobra,pm25-Zelo dobra",0.8513080168776371,0.8513080168776371,1.0
"pm1-Zelo dobra,pm4-Zelo dobra",0.8513080168776371,0.8513080168776371,1.0
"pm25-Zelo dobra,pm10-Zelo dobra",0.8754992967651195,0.8754992967651195,1.0
"pm4-Zelo dobra,pm10-Zelo dobra",0.8709423347398031,0.8709423347398031,1.0
"pm25-Zelo dobra,pm4-Zelo dobra",0.9627566807313642,0.9627566807313642,1.0
"no2-Zelo dobra,nox-Zelo nizka,h-Nizka",0.5568495077355837,0.5568495077355837,1.0
"no2-Zelo dobra,h-Nizka,pm25-Zelo dobra",0.5568495077355837,0.5568495077355837,1.0
"no2-Zelo dobra,pm4-Zelo dobra,h-Nizka",0.5440225035161744,0.5440225035161744,1.0
"pm25-Zelo dobra,nox-Zelo nizka,h-Nizka",0.5627566807313643,0.5627566807313643,1.0
"pm4-Zelo dobra,nox-Zelo nizka,h-Nizka",0.5481293952180029,0.5481293952180029,1.0
"pm25-Zelo dobra,pm4-Zelo dobra,h-Nizka",0.5481293952180029,0.5481293952180029,1.0
"o3-Dobra,no2-Zelo dobra,nox-Zelo nizka",0.5062728551336146,0.5062728551336146,1.0
"pm1-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka",0.8485513361462729,0.8485513361462729,1.0
"no2-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra",0.8736427566807313,0.8736427566807313,1.0
"no2-Zelo dobra,nox-Zelo nizka,pm25-Zelo dobra",0.9909985935302391,0.9909985935302391,1.0
"pm4-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka",0.9574683544303797,0.9574683544303797,1.0
"no2-Zelo dobra,o3-Dobra,pm25-Zelo dobra",0.5062728551336146,0.5062728551336146,1.0
"pm1-Zelo dobra,no2-Zelo dobra,pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
"pm1-Zelo dobra,no2-Zelo dobra,pm25-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
"pm1-Zelo dobra,no2-Zelo dobra,pm4-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
"no2-Zelo dobra,pm10-Zelo dobra,pm25-Zelo dobra",0.8736427566807313,0.8736427566807313,1.0
"no2-Zelo dobra,pm4-Zelo dobra,pm10-Zelo dobra",0.8690857946554149,0.8690857946554149,1.0
"no2-Zelo dobra,pm4-Zelo dobra,pm25-Zelo dobra",0.9574683544303797,0.9574683544303797,1.0
"o3-Dobra,pm25-Zelo dobra,nox-Zelo nizka",0.5078481012658228,0.5078481012658228,1.0
"pm1-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
"pm1-Zelo dobra,pm25-Zelo dobra,nox-Zelo nizka",0.8513080168776371,0.8513080168776371,1.0
"pm1-Zelo dobra,nox-Zelo nizka,pm4-Zelo dobra",0.8513080168776371,0.8513080168776371,1.0
"pm25-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra",0.8754992967651195,0.8754992967651195,1.0
"pm4-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra",0.8709423347398031,0.8709423347398031,1.0
"pm4-Zelo dobra,pm25-Zelo dobra,nox-Zelo nizka",0.9627566807313642,0.9627566807313642,1.0
"pm1-Zelo dobra,pm25-Zelo dobra,pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
"pm1-Zelo dobra,pm4-Zelo dobra,pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
"pm1-Zelo dobra,pm25-Zelo dobra,pm4-Zelo dobra",0.8513080168776371,0.8513080168776371,1.0
"pm25-Zelo dobra,pm4-Zelo dobra,pm10-Zelo dobra",0.8709423347398031,0.8709423347398031,1.0
"no2-Zelo dobra,nox-Zelo nizka,h-Nizka,pm25-Zelo dobra",0.5568495077355837,0.5568495077355837,1.0
"pm4-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,h-Nizka",0.5440225035161744,0.5440225035161744,1.0
"no2-Zelo dobra,pm4-Zelo dobra,h-Nizka,pm25-Zelo dobra",0.5440225035161744,0.5440225035161744,1.0
"pm4-Zelo dobra,pm25-Zelo dobra,nox-Zelo nizka,h-Nizka",0.5481293952180029,0.5481293952180029,1.0
"o3-Dobra,no2-Zelo dobra,nox-Zelo nizka,pm25-Zelo dobra",0.5062728551336146,0.5062728551336146,1.0
"pm1-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
"pm1-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm25-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
"pm1-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm4-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
"no2-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra,pm25-Zelo dobra",0.8736427566807313,0.8736427566807313,1.0
"pm4-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra",0.8690857946554149,0.8690857946554149,1.0
"pm4-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm25-Zelo dobra",0.9574683544303797,0.9574683544303797,1.0
"pm1-Zelo dobra,no2-Zelo dobra,pm10-Zelo dobra,pm25-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
"pm1-Zelo dobra,no2-Zelo dobra,pm4-Zelo dobra,pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
"pm1-Zelo dobra,no2-Zelo dobra,pm4-Zelo dobra,pm25-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
"no2-Zelo dobra,pm4-Zelo dobra,pm10-Zelo dobra,pm25-Zelo dobra",0.8690857946554149,0.8690857946554149,1.0
"pm1-Zelo dobra,pm25-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
"pm1-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra,pm4-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
"pm1-Zelo dobra,pm25-Zelo dobra,nox-Zelo nizka,pm4-Zelo dobra",0.8513080168776371,0.8513080168776371,1.0
"pm4-Zelo dobra,pm25-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra",0.8709423347398031,0.8709423347398031,1.0
"pm1-Zelo dobra,pm25-Zelo dobra,pm4-Zelo dobra,pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
"pm4-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm25-Zelo dobra,h-Nizka",0.5440225035161744,0.5440225035161744,1.0
"pm1-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra,pm25-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
"pm4-Zelo dobra,pm1-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
"pm4-Zelo dobra,pm1-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm25-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
"pm4-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra,pm25-Zelo dobra",0.8690857946554149,0.8690857946554149,1.0
"pm4-Zelo dobra,pm1-Zelo dobra,no2-Zelo dobra,pm10-Zelo dobra,pm25-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
"pm4-Zelo dobra,pm1-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra,pm25-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
"pm4-Zelo dobra,pm1-Zelo dobra,no2-Zelo dobra,nox-Zelo nizka,pm10-Zelo dobra,pm25-Zelo dobra",0.8016315049226441,0.8016315049226441,1.0
